"","County","State","Age.AdjustedCANCERcases_per100000","Recent.Trend","Average.Annual.Count"
"407","Catawba"," North Carolina",483.4,"stable",938
"408","Catoosa"," Georgia",388.8,"stable",309
"409","Catron"," New Mexico",254,"falling",21
"410","Cattaraugus"," New York",519,"stable",529
"411","Cavalier"," North Dakota",441.2,"stable",29
"412","Cayuga"," New York",513.3,"stable",529
"413","Cecil"," Maryland",521,"stable",609
"414","Cedar"," Iowa",493.4,"stable",119
"415","Cedar"," Missouri",426.2,"stable",90
"416","Cedar"," Nebraska",369.3,"stable",48
"417","Centre"," Pennsylvania",430.3,"stable",678
"418","Cerro Gordo"," Iowa",541.7,"rising",336
"419","Chaffee"," Colorado",405.6,"stable",118
"420","Chambers"," Alabama",522.8,"stable",240
"421","Chambers"," Texas",441,"stable",164
"422","Champaign"," Illinois",437.6,"stable",833
"423","Champaign"," Ohio",474.3,"stable",234
"424","Chariton"," Missouri",450.1,"stable",54
"425","Charles"," Maryland",446.6,"stable",691
"426","Charles City"," Virginia",452.4,"stable",52
"427","Charles Mix"," South Dakota",511.9,"stable",60
"428","Charleston"," South Carolina",462.2,"falling",2026
"429","Charlevoix"," Michigan",466.8,"stable",182
"430","Charlotte"," Florida",446.5,"stable",1618
"431","Charlotte"," Virginia",478.7,"stable",85
"432","Charlottesville City"," Virginia",420.7,"stable",164
"433","Charlton"," Georgia",419.2,"stable",61
"434","Chase"," Nebraska",421.3,"stable",24
"435","Chatham"," Georgia",452.1,"stable",1378
"436","Chatham"," North Carolina",437.8,"stable",442
"437","Chattahoochee"," Georgia",481.7,"stable",21
"438","Chattooga"," Georgia",493.9,"rising",155
"439","Chautauqua"," New York",535.1,"stable",946
"440","Chaves"," New Mexico",367.2,"falling",272
"441","Cheatham"," Tennessee",509,"falling",228
"442","Cheboygan"," Michigan",468.4,"stable",198
"443","Chelan"," Washington",460.3,"stable",438
"444","Chemung"," New York",516.8,"stable",580
"445","Chenango"," New York",528.8,"stable",359
"446","Cherokee"," Alabama",423.6,"stable",162
"447","Cherokee"," Georgia",500.5,"stable",1180
"448","Cherokee"," Iowa",452.2,"stable",87
"449","Cherokee"," North Carolina",481,"stable",229
"450","Cherokee"," Oklahoma",438.5,"stable",238
"451","Cherokee"," South Carolina",472.6,"stable",318
"452","Cherokee"," Texas",471.8,"stable",292
"453","Cherry"," Nebraska",386.3,"stable",34
"454","Chesapeake City"," Virginia",443.2,"stable",1070
"455","Cheshire"," New Hampshire",458.2,"stable",458
"456","Chester"," Pennsylvania",482.3,"stable",2897
"457","Chester"," South Carolina",513.4,"stable",220
"458","Chester"," Tennessee",451.2,"stable",91
"459","Chesterfield"," South Carolina",439.9,"stable",259
"460","Chesterfield"," Virginia",452.1,"stable",1642
