,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,County,State
11293,Western Antelope Blue Sky Ranch A,20,34.6817,-118.3247,Solar,2014,Sustainable Power Group  LLC,NA,2.084,52.141,52.202,52.725,Los Angeles,California
11294,Western Antelope Dry Ranch,10,34.6889,-118.3203,Solar,2017,Sustainable Power Group  LLC,NA,NA,NA,1.83,27.138,Los Angeles,California
11295,Western Branch High School,1,36.8481,-76.4071,Solar,2016,Virginia Electric & Power Co,NA,NA,NA,0.23,1.269,City of Portsmouth,Virginia
11296,Western Michigan Solar Gardens,1,42.2525,-85.6427,Solar,2016,Consumers Energy Co,NA,NA,NA,0.491,1.583,Kalamazoo,Michigan
11297,Western Michigan University Power Plant,11.7,42.28,-85.6064,Gas,1997.290598,Western Michigan University,72.43891,74.44385,69.09705,68.88125,71.97296,Kalamazoo,Michigan
11298,Western Plains Wind Farm,280.6,37.8548,-99.6798,Wind,2017,Westar Energy Inc,NA,NA,NA,NA,916.11,Edwards,Kansas
11299,Western Power & Steam Inc,27.7,35.4405,-119.0129,Gas,1990,Western Power & Steam Inc,205.17246,205.849,0,157.575,160.752,Kern,California
11300,Western Renewable Energy,3,34.093,-109.29,Waste,2004,Western Renewable Energy LLC,NA,NA,NA,NA,NA,Apache,Arizona
11301,Western Sugar Coop - Scottsbluff,5,41.8589,-103.6344,Coal,1987,Western Sugar Cooperative,7.697,0,39.52,21.5922,29.965,Scotts Bluff,Nebraska
11302,Western Sugar Coop - Torrington,2,42.0469,-104.1863,Gas,1978,Western Sugar Cooperative,5.311,5.595,5.594,6.89379,8.47974,Goshen,Wyoming
11303,Western Sugar Coop- Ft Morgan,3,40.263,-103.8069,Coal,1947,Western Sugar Cooperative,7.152,7.53,8.211,7.758,9.2949,Morgan,Colorado
11304,Westervelt Moundville Cogen,13,32.9607,-87.6554,Waste,2012,The Westervelt Co,0.415,31.795,39.003,39.791,35.194,Hale,Alabama
11305,Westford Solar Park,4,42.6364,-71.4194,Solar,2012,Westford Solar Park,5.844,5.482,5.363,5.944,5.408,Middlesex,Massachusetts
11306,Westhollow Technology Center,3.7,29.726,-95.6382,Gas,1988,Shell Chemical LP,27.6262,24.4069,29.03348,25.55644,21.66682,Fort Bend,Texas
11307,Westlands Solar PV Farm,18,36.1381,-120.0758,Solar,2014,Westlands Solar Farms  LLC,NA,43.05015,45.721,45.434,43.273,Fresno,California
11308,Westmont 300A,2.9,33.7661,-118.2889,Solar,2017,Westmont Solar  LLC,NA,NA,NA,NA,3.684,Los Angeles,California
11309,Westmont 300B,3,33.7661,-118.2847,Solar,2017,Westmont Solar  LLC,NA,NA,NA,0,4.175,Los Angeles,California
11310,Westmont 301,1.8,33.763,-118.2866,Solar,2017,Westmont Solar  LLC,NA,NA,NA,NA,0.109,Los Angeles,California
11311,Westmont 400A,2.3,33.7642,-118.2889,Solar,2017,Westmont Solar  LLC,NA,NA,NA,NA,1.46,Los Angeles,California
11312,Westmont 400B,2.2,33.7642,-118.2847,Solar,2017,Westmont Solar  LLC,NA,NA,NA,NA,1.108,Los Angeles,California
11313,Westmont 401,2.9,33.7624,-118.2882,Solar,2017,Westmont Solar  LLC,NA,NA,NA,NA,0.367,Los Angeles,California
11314,Weston,1103.4,44.8606,-89.6553,Coal,1993.699927,Wisconsin Public Service Corp,6086.081999,0,4413.634979,0,4299.410044,Marathon,Wisconsin
11315,Weston Hydro,12,44.7639,-69.7183,Hydro,1921.25,Brookfield White Pine Hydro LLC,80.008,86.942,89.104,71.704,78.37,Somerset,Maine
11316,Weston Landfill Solar,1.8,42.3746,-71.2825,Solar,2016,Ameresco  Inc - Weston,NA,NA,NA,NA,2.789,Middlesex,Massachusetts
11317,Westport,121.5,39.266,-76.6295,Gas,1969,Constellation Power Source Gen,21.461,6.204,22.58,64.277,21.843,City of Baltimore,Maryland
11318,Westport MA 1,1.3,41.6211,-71.057,Solar,2016,Clean Energy Collective LLC,NA,NA,NA,0.537,2.069,Bristol,Massachusetts
11319,Westport MA 2,1.2,41.6211,-71.057,Solar,2016,Clean Energy Collective LLC,NA,NA,NA,0.481,1.839,Bristol,Massachusetts
