,Site.Name,Site.Score,State,City,County,Status,Latitude,Longitude,Proposed.Date,Listing.Date,Construction.Completion.Date,NOID.Date,Deletion.Date
3310,Minker/Stout/Romaine Creek,36.78,Missouri,Imperial,Jefferson,NPL Site,38.44,-90.48,12/30/82,9/8/83,9/30/97,,
3311,Ellisville Site,0,Missouri,Ellisville,St. Louis,NPL Site,38.603331,-90.618331,12/30/82,9/8/83,9/30/97,,
3312,Fulbright Landfill,40.6,Missouri,Springfield,Greene,NPL Site,37.273056,-93.3125,12/30/82,9/8/83,6/3/92,,
3313,Syntex Facility,43.78,Missouri,Verona,Lawrence,NPL Site,36.965,-93.798331,12/30/82,9/8/83,9/16/98,,
3314,Times Beach,40.08,Missouri,Times Beach,St. Louis,Deleted NPL Site,38.508339,-90.601669,3/4/83,9/8/83,9/30/97,8/7/01,9/25/01
3315,Lee Chemical,46.81,Missouri,Liberty,Clay,NPL Site,39.201111,-94.3925,10/15/84,6/10/86,3/23/94,,
3316,"Solid State Circuits, Inc.",37.93,Missouri,Republic,Greene,NPL Site,37.118061,-93.480281,10/15/84,6/10/86,11/18/93,,
3317,Bee Cee Manufacturing Co.,28.59,Missouri,Malden,Dunklin,NPL Site,36.603331,-89.98,10/15/84,6/10/86,9/10/99,,
3318,Quality Plating,40.7,Missouri,Sikeston,Scott,NPL Site,36.96305,-89.557219,10/15/84,6/10/86,9/28/99,,
3319,Weldon Spring Former Army Ordnance Works,30.26,Missouri,St. Charles County,St. Charles,NPL Site,38.696389,-90.729161,7/14/89,2/21/90,8/24/05,,
3320,Lake City Army Ammunition Plant (Northwest Lagoon),33.62,Missouri,Independence,Jackson,NPL Site,39.103,-94.2783,10/15/84,7/22/87,,,
3321,North-U Drive Well Contamination,28.9,Missouri,Springfield,Greene,Deleted NPL Site,37.271389,-93.317781,10/15/84,6/10/86,3/31/93,6/24/94,9/8/94
3322,Valley Park TCE,35.57,Missouri,Valley Park,St. Louis,NPL Site,38.552781,-90.466669,4/10/85,6/10/86,9/19/06,,
3323,Kem-Pest Laboratories,33.89,Missouri,Cape Girardeau,Cape Girardeau,Deleted NPL Site,37.339611,-89.489444,1/22/87,10/4/89,9/27/96,8/6/01,9/20/01
3324,Oronogo-Duenweg Mining Belt,46.2,Missouri,Jasper County,Jasper,NPL Site,37.101111,-94.420561,6/24/88,8/30/90,,,
3325,"Wheeling Disposal Service Co., Inc., Landfill",48.58,Missouri,Amazonia,Andrew,Deleted NPL Site,39.875,-94.87,1/22/87,10/4/89,9/27/94,8/31/00,10/30/00
3326,Missouri Electric Works,31.2,Missouri,Cape Girardeau,Cape Girardeau,NPL Site,37.28625,-89.555056,6/24/88,2/21/90,8/22/19,,
3327,Weldon Spring Quarry/Plant/Pits (USDOE/Army),58.6,Missouri,St. Charles County,St. Charles,NPL Site,38.696944,-90.724999,10/15/84,7/22/87,8/22/05,,
3328,St. Louis Airport/Hazelwood Interim Storage/Futura Coatings Co.,38.31,Missouri,St. Louis County,St. Louis,NPL Site,38.759719,-90.360419,5/5/89,10/4/89,,,
3329,Westlake Landfill,29.85,Missouri,Bridgeton,St. Louis,NPL Site,38.77,-90.445269,10/26/89,8/30/90,,,
3330,Big River Mine Tailings/St. Joe Minerals Corp.,84.91,Missouri,Desloge,St. Francois,NPL Site,37.886389,-90.55,2/7/92,10/14/92,,,
3331,Newton County Wells,50,Missouri,Joplin,Newton,NPL Site,37.044722,-94.473056,1/19/99,7/27/00,4/13/09,,
3332,Pools Prairie,50,Missouri,Neosho,Newton,NPL Site,36.803056,-94.390278,1/19/99,9/17/99,,,
3333,Armour Road,50,Missouri,North Kansas City,Clay,NPL Site,39.145,-94.556111,1/19/99,5/10/99,,,
3334,Riverfront,50,Missouri,New Haven,Franklin,NPL Site,38.613889,-91.214722,7/27/00,12/1/00,,,
3335,"Mid-Atlantic Wood Preservers, Inc.",42.31,Maryland,Harmans,Anne Arundel,Deleted NPL Site,39.163611,-76.698331,10/15/84,6/10/86,9/23/93,5/19/00,7/18/00
3336,Southern Maryland Wood Treating,34.21,Maryland,Hollywood,St. Mary's,Deleted NPL Site,38.3589,-76.5882,10/15/84,6/10/86,4/23/01,2/4/05,4/5/05
3337,"Trans Circuits, Inc.",50,Florida,Lake Park,Palm Beach,NPL Site,26.795278,-80.073889,10/22/99,2/4/00,9/25/13,,
3338,Kane & Lombard Street Drums,30.15,Maryland,Baltimore,Baltimore,NPL Site,39.2956,-76.5419,10/15/84,6/10/86,,,
3339,Landia Chemical Company,50,Florida,Lakeland,Polk,NPL Site,28.039444,-81.979167,2/4/00,5/11/00,,,
3340,"Chemical Metals Industries, Inc.",0,Maryland,Baltimore,Baltimore,Deleted NPL Site,39.265419,-76.6325,10/23/81,,12/30/82,,12/30/82
3341,Alaric Area Ground Water Plume,41.91,Florida,Tampa,Hillsborough,NPL Site,27.964083,-82.375139,2/4/00,12/1/00,9/30/03,,
3342,Aberdeen Proving Ground (Michaelsville Landfill),31.09,Maryland,Aberdeen,"Baltimore, Harford",NPL Site,39.4606,-76.1414,4/10/85,10/4/89,6/11/01,,
3343,Aberdeen Proving Ground (Edgewood Area),53.57,Maryland,Edgewood,"Baltimore, Harford",NPL Site,39.395404,-76.30773,4/10/85,2/21/90,,,
3344,Woodlawn County Landfill,48.13,Maryland,Woodlawn,Cecil,NPL Site,39.641669,-76.09,1/22/87,7/22/87,6/25/01,,
3345,Bush Valley Landfill,40.3,Maryland,Abingdon,Harford,NPL Site,39.467219,-76.26195,6/24/88,3/31/89,8/2/01,,
3346,"Spectron, Inc.",51.42,Maryland,Elkton,Cecil,NPL Site,39.691249,-75.877778,10/14/92,5/31/94,,,
3347,"Ordnance Products, Inc.",32.15,Maryland,Cecil County,Cecil,NPL Site,39.630833,-75.923889,5/10/93,9/25/97,6/19/15,,
3348,H.O.D. Landfill,34.68,Illinois,Antioch,Lake,NPL Site,42.4753,-88.0819,9/18/85,2/21/90,6/29/01,,
3349,Beltsville Agricultural Research Center (USDA),50,Maryland,Beltsville,Prince George's,NPL Site,39.029166,-76.884583,5/10/93,5/31/94,,,
3350,Patuxent River Naval Air Station,50,Maryland,St. Mary's County,St. Mary's,NPL Site,38.270694,-76.419444,1/18/94,5/31/94,,,
3351,Indian Head Naval Surface Warfare Center,50,Maryland,Indian Head,Charles,NPL Site,38.591389,-77.174306,2/13/95,9/29/95,,,
3352,Central Chemical (Hagerstown),50,Maryland,Hagerstown,Washington,NPL Site,39.656667,-77.723611,6/17/96,9/25/97,,,
3353,Fort George G. Meade,51.44,Maryland,Odenton,Anne Arundel,NPL Site,39.083333,-76.715278,4/1/97,7/28/98,,,
3354,Andrews Air Force Base,50,Maryland,Camp Springs,Prince George's,NPL Site,38.791667,-76.875,7/28/98,5/10/99,,,
3355,Brandywine DRMO,50.15,Maryland,Brandywine,Prince George's,NPL Site,38.698056,-76.845,7/28/98,5/10/99,,,
3356,Curtis Bay Coast Guard Yard,50,Maryland,Anne Arundel County,Anne Arundel,NPL Site,39.2,-76.572694,9/13/01,9/5/02,8/26/13,,
3357,68th Street Dump,50,Maryland,Baltimore,Baltimore,Proposed NPL Site,39.307967,-76.517886,4/30/03,,,,
3358,Fort Detrick Area B Ground Water,49.52,Maryland,Fort Detrick,Frederick,NPL Site,39.434442,-77.446769,9/3/08,4/9/09,,,
3359,Dwyer Property Ground Water Plume,50,Maryland,Elkton,Cecil,NPL Site,39.612007,-75.844474,10/21/10,3/10/11,,,
3360,Sauer Dump,50,Maryland,Dundalk,Baltimore,NPL Site,39.270267,-76.45271,3/10/11,3/15/12,,,
3361,McKin Co.,60.97,Maine,Gray,Cumberland,NPL Site,43.8841,-70.2942,12/30/82,9/8/83,3/24/92,,
3362,O'Connor,31.86,Maine,Augusta,Kennebec,Deleted NPL Site,44.301916,-69.736944,12/30/82,9/8/83,9/26/02,3/12/14,7/22/14
3363,Pinette's Salvage Yard,33.98,Maine,Washburn,Aroostook,Deleted NPL Site,46.7782,-68.1701,12/30/82,9/8/83,6/30/97,8/28/02,9/30/02
3364,Saco Municipal Landfill,29.49,Maine,Saco,York,NPL Site,43.5302,-70.4815,6/24/88,2/21/90,9/29/00,,
3365,Saco Tannery Waste Pits,43.19,Maine,Saco,York,Deleted NPL Site,43.56055,-70.426389,12/30/82,9/8/83,9/30/93,8/16/99,9/29/99
3366,Winthrop Landfill,35.62,Maine,Winthrop,Kennebec,NPL Site,44.275831,-69.988331,12/30/82,9/8/83,12/23/97,,
3367,Brunswick Naval Air Station,43.38,Maine,Brunswick,Cumberland,NPL Site,43.90634,-69.933986,10/15/84,7/22/87,9/27/02,,
3368,Loring Air Force Base,34.49,Maine,Limestone,Aroostook,NPL Site,46.944444,-67.883888,7/14/89,2/21/90,3/23/01,,
3369,Portsmouth Naval Shipyard,50,Maine,Kittery,York,NPL Site,43.084167,-70.741666,6/23/93,5/31/94,9/26/19,,
3370,West Site/Hows Corners,50,Maine,Plymouth,Penobscot,NPL Site,44.740278,-69.182222,2/13/95,9/29/95,9/28/11,,
3371,Eastern Surplus,50,Maine,Meddybemps,Washington,NPL Site,45.038889,-67.358333,10/2/95,6/17/96,9/25/01,,
3372,Eastland Woolen Mill,70.71,Maine,Corinna,Penobscot,NPL Site,44.921667,-69.261111,4/23/99,7/22/99,9/28/06,,
3373,Callahan Mine,50,Maine,Brooksville,Hancock,NPL Site,44.351639,-68.810139,9/13/01,9/5/02,,,
3374,"Union Chemical Co., Inc.",32.11,Maine,South Hope,Knox,Deleted NPL Site,44.21444,-69.189027,6/24/88,10/4/89,9/30/97,7/20/18,9/21/18
3375,Leeds Metal,32.25,Maine,Leeds,Androscoggin,NPL Site,44.237083,-70.08025,9/16/11,9/18/12,,,
3376,Keddy Mill,50,Maine,Windham,Cumberland,NPL Site,43.734953,-70.424514,12/12/13,5/12/14,,,
3377,Anderson Development Co.,31.02,Michigan,Adrian,Lenawee,Deleted NPL Site,41.893611,-84.017219,12/30/82,9/8/83,9/24/93,8/30/95,1/26/96
3378,"Auto Ion Chemicals, Inc.",32.07,Michigan,Kalamazoo,Kalamazoo,NPL Site,42.293889,-85.567219,12/30/82,9/8/83,9/23/94,,
3379,Berlin & Farro,66.74,Michigan,Swartz Creek,Genesee,Deleted NPL Site,42.904,-83.8348,12/30/82,9/8/83,9/18/96,1/21/98,6/24/98
3380,Burrows Sanitation,30.59,Michigan,Hartford,Van Buren,Deleted NPL Site,42.2233,-86.1502,9/8/83,9/21/84,4/5/93,5/15/15,7/14/15
3381,Butterworth #2 Landfill,50.31,Michigan,Grand Rapids,Kent,NPL Site,42.952219,-85.700281,12/30/82,9/8/83,9/27/00,,
3382,"Cannelton Industries, Inc.",30.16,Michigan,Sault Sainte Marie,Chippewa,NPL Site,46.488889,-84.393061,6/24/88,8/30/90,9/28/99,,
3383,Cemetery Dump,34.16,Michigan,Rose Center,Oakland,Deleted NPL Site,42.725281,-83.610281,12/30/82,9/8/83,9/11/91,2/15/95,4/19/95
3384,Charlevoix Municipal Well,37.94,Michigan,Charlevoix,Charlevoix,Deleted NPL Site,45.317781,-85.266669,12/30/82,9/8/83,9/16/92,9/29/93,12/2/93
3385,Chem Central,38.2,Michigan,Wyoming Township,Kent,NPL Site,42.91,-85.674161,12/30/82,9/8/83,9/19/95,,
3386,Clare Water Supply,38.43,Michigan,Clare,Clare,NPL Site,43.815,-84.7625,12/30/82,9/21/84,3/30/99,,
3387,Cliff/Dow Dump,34.5,Michigan,Marquette,Marquette,Deleted NPL Site,46.574439,-87.42,12/30/82,9/8/83,9/25/95,9/18/00,11/17/00
3388,Duell & Gardner Landfill,34.68,Michigan,Dalton Township,Muskegon,Deleted NPL Site,43.319439,-86.208339,12/30/82,9/8/83,8/10/01,7/31/19,9/30/19
3389,"Avenue ""E"" Ground Water Contamination",31.19,Michigan,Traverse City,Grand Traverse,Deleted NPL Site,44.750719,-85.5775,10/15/84,6/10/86,9/27/00,1/19/07,3/20/07
3390,Electrovoice,35.36,Michigan,Buchanan,Berrien,NPL Site,41.8206,-86.3545,12/30/82,9/21/84,9/21/99,,
3391,Forest Waste Products,38.64,Michigan,Otisville,Genesee,NPL Site,43.198331,-83.545831,12/30/82,9/8/83,6/30/97,,
3392,G&H Landfill,49.09,Michigan,Utica,Macomb,NPL Site,42.664719,-83.077769,12/30/82,9/8/83,8/26/99,,
3393,Grand Traverse Overall Supply Co.,35.53,Michigan,Greilickville,Leelanau,NPL Site,44.7944,-85.6382,12/30/82,9/8/83,9/17/92,,
3394,Gratiot County Golf Course,40.22,Michigan,St. Louis,Gratiot,Deleted NPL Site,43.416419,-84.623469,12/30/82,,9/8/83,,9/8/83
3395,Gratiot County Landfill,0,Michigan,St. Louis,Gratiot,NPL Site,43.395,-84.595281,12/30/82,9/8/83,7/19/95,,
3396,Hedblum Industries,37.29,Michigan,Oscoda,Iosco,NPL Site,44.4113,-83.3469,12/30/82,9/8/83,8/16/93,,
3397,Ionia City Landfill,31.31,Michigan,Ionia,Ionia,NPL Site,42.976669,-85.046111,12/30/82,9/8/83,9/28/00,,
3398,K&L Avenue Landfill,38.1,Michigan,Oshtemo Township,Kalamazoo,NPL Site,42.283331,-85.718889,12/30/82,9/8/83,12/20/06,,
3399,Kentwood Landfill,35.39,Michigan,Kentwood,Kent,NPL Site,42.8738,-85.5906,12/30/82,9/8/83,9/27/95,,
3400,"Liquid Disposal, Inc.",63.28,Michigan,Utica,Macomb,NPL Site,42.652781,-83.073611,12/30/82,9/8/83,9/16/97,,
3401,Mason County Landfill,34.18,Michigan,Pere Marquette Township,Mason,Deleted NPL Site,43.9185,-86.4292,12/30/82,9/8/83,9/27/93,7/26/99,9/9/99
3402,McGraw Edison Corp.,33.42,Michigan,Albion,Calhoun,NPL Site,42.252219,-84.733061,12/30/82,9/8/83,1/28/98,,
3403,Northernaire Plating,57.93,Michigan,Cadillac,Wexford,NPL Site,44.265,-85.41,12/30/82,9/8/83,9/23/96,,
3404,Novaco Industries,38.2,Michigan,Temperance,Monroe,Deleted NPL Site,41.7856,-83.6443,12/30/82,9/8/83,9/18/92,5/27/98,7/14/98
3405,"Organic Chemicals, Inc.",32.93,Michigan,Grandville,Kent,NPL Site,42.9178,-85.7475,12/30/82,9/8/83,9/29/03,,
3406,Ossineke Ground Water Contamination,33.78,Michigan,Ossineke,Alpena,Deleted NPL Site,44.903331,-83.442219,12/30/82,9/8/83,9/30/02,8/11/95,1/31/96
3407,Ott/Story/Cordova Chemical Co.,53.41,Michigan,Dalton Township,Muskegon,NPL Site,43.303331,-86.256669,12/30/82,9/8/83,5/1/02,,
3408,Packaging Corp. of America,51.91,Michigan,Filer City,Manistee,NPL Site,44.226389,-86.273331,12/30/82,9/8/83,9/14/98,,
3409,Petoskey Municipal Well Field,42.68,Michigan,Petoskey,Emmet,NPL Site,45.376,-84.964,12/30/82,9/8/83,2/18/00,,
3410,Rasmussen's Dump,31.8,Michigan,Brighton,Livingston,NPL Site,42.4544,-83.7693,12/30/82,9/8/83,9/25/95,,
3411,Rose Township Dump,50.92,Michigan,Rose Township,Oakland,NPL Site,42.720831,-83.631939,12/30/82,9/8/83,2/5/96,,
3412,SCA Independent Landfill,34.75,Michigan,Muskegon Heights,Muskegon,NPL Site,43.201111,-86.1425,12/30/82,9/8/83,9/26/01,,
3413,Shiawassee River,31.01,Michigan,Howell,Livingston,NPL Site,42.622781,-83.963611,12/30/82,9/8/83,9/29/05,,
3414,Southwest Ottawa County Landfill,39.66,Michigan,Park Township,Ottawa,NPL Site,42.820419,-86.185219,12/30/82,9/8/83,9/22/94,,
3415,Sparta Landfill,32,Michigan,Sparta Township,Kent,NPL Site,43.1525,-85.68195,12/30/82,9/8/83,9/27/00,,
3416,Spartan Chemical Co.,41.05,Michigan,Wyoming,Kent,NPL Site,42.915831,-85.727781,12/30/82,9/8/83,,,
3417,Spiegelberg Landfill,53.61,Michigan,Green Oak Township,Livingston,Deleted NPL Site,42.454169,-83.772219,12/30/82,9/8/83,6/29/95,4/13/11,6/13/11
3418,Springfield Township Dump,51.97,Michigan,Davisburg,Oakland,NPL Site,42.7044,-83.5419,12/30/82,9/8/83,8/25/00,,
3419,Tar Lake,48.55,Michigan,Mancelona Township,Antrim,NPL Site,44.8866,-85.073,12/30/82,9/8/83,9/28/04,,
3420,U.S. Aviex,33.66,Michigan,Howard Township,Cass,NPL Site,41.8309,-86.1968,12/30/82,9/8/83,9/21/93,,
3421,Velsicol Chemical Corp.(Michigan),52.29,Michigan,St. Louis,Gratiot,NPL Site,43.410561,-84.618611,12/30/82,9/8/83,9/25/92,,
3422,Verona Well Field,46.86,Michigan,Battle Creek,Calhoun,NPL Site,42.341669,-85.143331,12/30/82,9/8/83,6/26/97,,
3423,Wash King Laundry,40.03,Michigan,Pleasant Plains Township,Lake,NPL Site,43.8532,-85.853,12/30/82,9/8/83,3/30/01,,
3424,Whitehall Municipal Wells,35.45,Michigan,Whitehall,Muskegon,Deleted NPL Site,43.412219,-86.328889,12/30/82,9/21/84,9/7/90,9/21/90,2/11/91
3425,Metamora Landfill,35.51,Michigan,Metamora,Lapeer,NPL Site,42.94695,-83.274439,9/8/83,9/21/84,9/27/01,,
3426,Sturgis Municipal Wells,42.24,Michigan,Sturgis,St. Joseph,NPL Site,41.7988,-85.4256,9/8/83,9/21/84,9/3/97,,
3427,"Thermo-Chem, Inc.",53.36,Michigan,Muskegon,Muskegon,NPL Site,43.210831,-86.136669,10/15/84,6/10/86,9/17/02,,
3428,Torch Lake,46.72,Michigan,Houghton County,Houghton,NPL Site,47.169719,-88.397781,10/15/84,6/10/86,9/23/05,,
3429,North Bronson Industrial Area,33.93,Michigan,Bronson,Branch,NPL Site,41.880281,-85.193339,10/15/84,6/10/86,,,
3430,Michigan Disposal Service (Cork Street Landfill),37.93,Michigan,Kalamazoo,Kalamazoo,NPL Site,42.2545,-85.5433,10/15/84,2/21/90,9/25/02,,
3431,"Motor Wheel, Inc.",48.91,Michigan,Lansing,Ingham,NPL Site,42.760831,-84.535,10/15/84,6/10/86,12/18/97,,
3432,South Macomb Disposal Authority (Landfills #9 and #9A),33.67,Michigan,Macomb Township,Macomb,NPL Site,42.682081,-82.907389,10/15/84,6/10/86,10/31/05,,
3433,Waste Management of Michigan (Holland Lagoons),37.2,Michigan,Holland,Ottawa,Deleted NPL Site,42.824219,-86.189389,10/15/84,6/10/86,9/26/01,11/14/12,1/14/13
3434,"Roto-Finish Co., Inc.",40.7,Michigan,Kalamazoo,Kalamazoo,NPL Site,42.2292,-85.5443,10/15/84,6/10/86,3/31/97,,
3435,"H. Brown Co., Inc.",39.88,Michigan,Grand Rapids,Kent,NPL Site,43.003331,-85.678339,4/10/85,6/10/86,9/19/00,,
3436,Rockwell International Corp. (Allegan Plant),52.15,Michigan,Allegan,Allegan,NPL Site,42.536669,-85.85,4/10/85,7/22/87,9/27/16,,
3437,Kent City Mobile Home Park,33.62,Michigan,Kent City,Kent,Deleted NPL Site,43.216669,-85.753331,9/18/85,7/22/87,9/13/94,11/8/94,3/20/95
3438,Folkertsma Refuse,33.12,Michigan,Grand Rapids,Kent,Deleted NPL Site,43.001669,-85.703331,6/10/86,3/31/89,9/15/94,1/29/96,4/10/96
3439,Alaska Battery Enterprises,30.98,Alaska,Fairbanks North Star Borough,Fairbanks North Star,Deleted NPL Site,64.8203,-147.7038,6/24/88,3/31/89,3/2/93,5/13/96,7/26/96
3440,Lindsay Manufacturing Co.,47.91,Nebraska,Lindsay,Platte,NPL Site,41.701669,-97.69,6/24/88,10/4/89,8/3/95,,
3441,Callaway & Son Drum Service,46.22,Florida,Lake Alfred,Polk,Deleted NPL Site,28.098056,-81.714722,2/4/00,5/11/00,12/21/07,6/5/09,8/4/09
3442,Fort Wainwright,42.4,Alaska,Fairbanks North Star Borough,Fairbanks North Star,NPL Site,64.823,-147.6106,7/14/89,8/30/90,9/27/02,,
3443,Parkview Well,50,Nebraska,Grand Island,Hall,NPL Site,40.895833,-98.365,9/23/04,4/19/06,8/31/10,,
3444,Garvey Elevator,50,Nebraska,Hastings,Adams,NPL Site,40.563611,-98.415556,4/27/05,9/14/05,,,
3445,West Highway 6 & Highway 281,50,Nebraska,Hastings,Adams,NPL Site,40.5712,-98.4095,9/14/05,4/19/06,,,
3446,PCE Southeast Contamination ,43.33,Nebraska,York,York,NPL Site,40.859594,-97.580614,12/12/13,5/12/14,,,
3447,PCE/TCE Northeast Contamination,50,Nebraska,York,York,NPL Site,40.888636,-97.600361,12/12/13,5/12/14,,,
3448,Iowa-Nebraska Light & Power Co,40.8,Nebraska,Norfolk,Madison,NPL Site,42.0323,-97.417028,9/30/15,4/7/16,,,
3449,Fort Riley,33.79,Kansas,Junction City,"Geary, Riley",NPL Site,39.166669,-96.75,7/14/89,8/30/90,,,
3450,Old HWY 275 and N 288th Street,50,Nebraska,Valley,Douglas,NPL Site,41.329092,-96.367333,9/9/16,8/3/17,,,
3451,Auburn Road Landfill,36.3,New Hampshire,Londonderry,Rockingham,NPL Site,42.9302,-71.3529,12/30/82,9/8/83,4/3/98,,
3452,Dover Municipal Landfill,36.98,New Hampshire,Dover,Strafford,NPL Site,43.2125,-70.953,12/30/82,9/8/83,9/6/12,,
3453,Keefe Environmental Services,65.19,New Hampshire,Epping,Rockingham,NPL Site,43.024169,-71.033331,12/30/82,9/8/83,6/10/93,,
3454,Ottati & Goss/Kingston Steel Drum,53.41,New Hampshire,Kingston,Rockingham,NPL Site,42.897219,-71.080561,12/30/82,9/8/83,9/19/08,,
3455,Somersworth Sanitary Landfill,65.56,New Hampshire,Somersworth,Strafford,NPL Site,43.2489,-70.8845,12/30/82,9/8/83,9/9/05,,
3456,"Tri-County Landfill Co./Waste Management of Illinois, Inc.",42.76,Illinois,South Elgin,Kane,NPL Site,41.9832,-88.2712,6/10/86,3/31/89,11/1/01,,
3457,Sylvester,0,New Hampshire,Nashua,Hillsborough,NPL Site,42.7197,-71.523111,12/30/82,9/8/83,4/8/92,,
3458,Tinkham Garage,43.24,New Hampshire,Londonderry,Rockingham,NPL Site,42.860831,-71.351111,12/30/82,9/8/83,4/7/95,,
3459,Kearsarge Metallurgical Corp.,38.45,New Hampshire,Conway,Carroll,NPL Site,43.9721,-71.1293,9/8/83,9/21/84,9/24/93,,
3460,Savage Municipal Water Supply,37.52,New Hampshire,Milford,Hillsborough,NPL Site,42.8418,-71.6884,9/8/83,9/21/84,9/12/06,,
3461,South Municipal Water Supply Well,35.64,New Hampshire,Peterborough,Hillsborough,NPL Site,42.8489,-71.9468,9/8/83,9/21/84,12/15/94,,
3462,Coakley Landfill,29.16,New Hampshire,North Hampton,Rockingham,NPL Site,43.001111,-70.817219,10/15/84,6/10/86,9/29/99,,
3463,Tibbetts Road,41.09,New Hampshire,Barrington,Strafford,NPL Site,43.18,-71.0347,4/10/85,6/10/86,9/29/98,,
3464,Mottolo Pig Farm,40.7,New Hampshire,Raymond,Rockingham,NPL Site,42.989581,-71.173189,4/10/85,7/22/87,9/30/93,,
3465,Fletcher's Paint Works & Storage,35.39,New Hampshire,Milford,Hillsborough,NPL Site,42.8358,-71.6554,6/24/88,3/31/89,8/21/18,,
3466,Town Garage/Radio Beacon,31.94,New Hampshire,Londonderry,Rockingham,Deleted NPL Site,42.861669,-71.393611,6/24/88,3/31/89,9/30/92,5/21/14,7/21/14
3467,Pease Air Force Base,39.42,New Hampshire,"Newington, Portsmouth",Rockingham,NPL Site,43.080169,-70.82125,7/14/89,2/21/90,9/26/00,,
3468,New Hampshire Plating Co.,50,New Hampshire,Merrimack,Hillsborough,NPL Site,42.855833,-71.488888,7/29/91,10/14/92,9/28/06,,
3469,Beede Waste Oil,70.71,New Hampshire,Plaistow,Rockingham,NPL Site,42.855075,-71.105889,6/17/96,12/23/96,,,
3470,Mohawk Tannery,52.4,New Hampshire,Nashua,Hillsborough,Proposed NPL Site,42.765569,-71.487778,5/11/00,,,,
3471,Troy Mills Landfill,50,New Hampshire,Troy,Cheshire,NPL Site,42.802583,-72.186944,4/30/03,9/29/03,9/30/05,,
3472,Chlor-Alkali Facility (Former),30.54,New Hampshire,Berlin,Coos,NPL Site,44.479194,-71.167194,4/27/05,9/14/05,,,
3473,Collins & Aikman Plant (Former),50,New Hampshire,Farmington,Strafford,NPL Site,43.372,-71.05875,5/24/13,12/12/13,,,
3474,A. O. Polymer,28.91,New Jersey,Sparta Township,Sussex,NPL Site,41.04805,-74.63,12/30/82,9/8/83,5/8/98,,
3475,American Cyanamid Co.,50.28,New Jersey,Bound Brook,Somerset,NPL Site,40.555561,-74.55945,12/30/82,9/8/83,,,
3476,Asbestos Dump,39.61,New Jersey,Millington,Morris,Deleted NPL Site,40.6725,-74.525561,12/30/82,9/8/83,6/30/00,5/11/10,7/12/10
3477,Beachwood/Berkley Wells,42.24,New Jersey,Berkley Township,Ocean,Deleted NPL Site,39.924719,-74.196661,12/30/82,9/8/83,5/3/91,7/12/91,1/6/92
3478,Bog Creek Farm,43.23,New Jersey,Howell Township,Monmouth,NPL Site,40.150831,-74.161111,12/30/82,9/8/83,6/30/94,,
3479,Brick Township Landfill,58.13,New Jersey,Brick Township,Ocean,NPL Site,40.1098,-74.1311,12/30/82,9/8/83,7/14/14,,
3480,Bridgeport Rental & Oil Services,60.73,New Jersey,Bridgeport,Gloucester,NPL Site,39.801669,-75.321661,12/30/82,9/8/83,,,
3481,Burnt Fly Bog,59.16,New Jersey,Marlboro Township,"Middlesex, Monmouth",NPL Site,40.375,-74.279169,12/30/82,9/8/83,9/21/04,,
3482,Caldwell Trucking Co.,58.3,New Jersey,Fairfield,Essex,NPL Site,40.876389,-74.271389,12/30/82,9/8/83,,,
3483,Chemical Control,47.13,New Jersey,Elizabeth,Union,NPL Site,40.6432,-74.1935,12/30/82,9/8/83,6/30/94,,
3484,"Chemsol, Inc.",42.69,New Jersey,Piscataway,Middlesex,NPL Site,40.5625,-74.443339,12/30/82,9/8/83,,,
3485,Combe Fill North Landfill,47.79,New Jersey,Mount Olive Township,Morris,Deleted NPL Site,40.881939,-74.713331,12/30/82,9/8/83,3/31/93,2/24/04,6/2/04
3486,Combe Fill South Landfill,45.22,New Jersey,Chester Township,Morris,NPL Site,40.771669,-74.738331,12/30/82,9/8/83,,,
3487,CPS/Madison Industries,69.73,New Jersey,Old Bridge Township,Middlesex,NPL Site,40.434439,-74.327769,12/30/82,9/8/83,,,
3488,D'Imperio Property,55.79,New Jersey,Hamilton Township,Atlantic,NPL Site,39.454439,-74.658889,12/30/82,9/8/83,9/22/04,,
3489,Denzer & Schafer X-Ray Co.,40.36,New Jersey,Bayville,Ocean,Deleted NPL Site,39.909169,-74.170831,12/30/82,9/8/83,9/29/95,8/18/98,12/29/98
3490,Dover Municipal Well 4,28.9,New Jersey,Dover,Morris,NPL Site,40.8858,-74.5423,12/30/82,9/8/83,9/24/10,,
3491,Ellis Property,34.62,New Jersey,Evesham Township,Burlington,NPL Site,39.905,-74.864719,12/30/82,9/8/83,9/27/00,,
3492,Evor Phillips Leasing,36.64,New Jersey,Old Bridge Township,Middlesex,NPL Site,40.4375,-74.325,12/30/82,9/8/83,,,
3493,Fair Lawn Well Field,42.49,New Jersey,Fair Lawn,Bergen,NPL Site,40.9375,-74.131939,12/30/82,9/8/83,,,
3494,Friedman Property,33.88,New Jersey,Upper Freehold Township,Monmouth,Deleted NPL Site,40.1048,-74.5077,12/30/82,9/8/83,4/30/85,12/31/85,3/7/86
3495,GEMS Landfill,68.53,New Jersey,Gloucester Township,Camden,NPL Site,39.77945,-75.018889,12/30/82,9/8/83,9/30/99,,
3496,Goose Farm,47.71,New Jersey,Plumstead Township,Ocean,NPL Site,40.09555,-74.4975,12/30/82,9/8/83,6/30/93,,
