,Site.Name,Site.Score,State,City,County,Status,Latitude,Longitude,Proposed.Date,Listing.Date,Construction.Completion.Date,NOID.Date,Deletion.Date
3971,Henderson Road,41.69,Pennsylvania,Upper Merion Township,Montgomery,NPL Site,40.086939,-75.35555,9/8/83,9/21/84,10/28/92,,
3972,Walsh Landfill,33.64,Pennsylvania,Honeybrook Township,Chester,NPL Site,40.119719,-75.915281,9/8/83,9/21/84,8/16/06,,
3973,Raymark,53.42,Pennsylvania,Hatboro,Montgomery,NPL Site,40.179719,-75.098611,6/24/88,10/4/89,9/14/95,,
3974,Industrial Lane,42.47,Pennsylvania,Williams Township,Northampton,NPL Site,40.665831,-75.228611,9/8/83,9/21/84,6/29/99,,
3975,Tysons Dump,63.1,Pennsylvania,Upper Merion Township,Montgomery,NPL Site,40.111389,-75.362781,9/8/83,9/21/84,12/22/97,,
3976,Letterkenny Army Depot (SE Area),34.21,Pennsylvania,Chambersburg,Franklin,NPL Site,39.9957,-77.6444,10/15/84,7/22/87,,,
3977,Modern Sanitation Landfill,33.93,Pennsylvania,Lower Windsor Township,York,NPL Site,39.960561,-76.5925,10/15/84,6/10/86,10/20/00,,
3978,MW Manufacturing,46.44,Pennsylvania,Valley Township,Montour,NPL Site,40.99,-76.641669,10/15/84,6/10/86,9/28/05,,
3979,Brown's Battery Breaking,37.34,Pennsylvania,Shoemakersville,Berks,NPL Site,40.519439,-76.001389,10/15/84,6/10/86,11/3/03,,
3980,Ambler Asbestos Piles,34.47,Pennsylvania,Ambler,Montgomery,Deleted NPL Site,40.149719,-75.227219,10/15/84,6/10/86,8/30/93,9/5/96,12/27/96
3981,Hunterstown Road,48.27,Pennsylvania,Straban Township,Adams,NPL Site,39.85305,-77.206111,10/15/84,6/10/86,9/30/03,,
3982,Middletown Air Field,35.69,Pennsylvania,Middletown,Dauphin,Deleted NPL Site,40.1763,-76.7173,10/15/84,6/10/86,9/18/96,5/23/97,7/10/97
3983,Westinghouse Elevator Co. Plant,36.37,Pennsylvania,Cumberland Township,Adams,NPL Site,39.857219,-77.24,10/15/84,6/10/86,9/22/98,,
3984,Whitmoyer Laboratories,46.25,Pennsylvania,Jackson Township,Lebanon,NPL Site,40.364719,-76.325,10/15/84,6/10/86,6/6/02,,
3985,"Delta Quarries & Disposal, Inc./Stotler Landfill",41.08,Pennsylvania,"Antis Township, Logan Township",Blair,NPL Site,40.553611,-78.35445,6/10/86,3/31/89,12/5/96,,
3986,Shriver's Corner,46.13,Pennsylvania,Straban Township,Adams,NPL Site,39.8999,-77.2055,10/15/84,6/10/86,1/7/03,,
3987,York County Solid Waste and Refuse Authority Landfill,44.26,Pennsylvania,Hopewell Township,York,Deleted NPL Site,39.782361,-76.607219,4/10/85,7/22/87,9/29/95,12/14/04,2/14/05
3988,Reeser's Landfill,30.35,Pennsylvania,Upper Macungie Township,Lehigh,Deleted NPL Site,40.5794,-75.6564,4/10/85,7/22/87,2/5/90,3/2/90,5/31/90
3989,Keystone Sanitation Landfill,33.76,Pennsylvania,Union Township,Adams,NPL Site,39.72445,-77.036111,4/10/85,7/22/87,9/13/04,,
